N,ExecutionTime(ms)
10,1040
20,342
30,685
40,1121
50,1158
60,1136
70,1170
80,1641
90,1793
100,1651
110,2237
120,1966
130,1458
140,1958
150,1740
160,1763
170,1543
180,2042
190,2335
200,2729
210,2378
220,2419
230,2210
240,2313
250,2184
260,2445
270,2369
280,2497
290,2756
300,2303
310,2689
320,2493
330,2851
340,2622
350,2838
360,2634
370,2661
380,2895
390,2638
400,2531
410,2404
420,2418
430,2375
440,2460
450,2536
460,2854
470,2893
480,3081
490,2708
500,2654
510,2660
520,2636
530,2504
540,2618
550,2769
560,3128
570,3117
580,2993
590,2906
600,2962
610,3095
620,2990
630,3060
640,2664
650,2943
660,2800
670,2932
680,2875
690,3178
700,3232
710,3157
720,3333
730,3081
740,2955
750,3095
760,3395
770,3167
780,3274
790,3180
800,3337
810,3284
820,3172
830,3261
840,3480
850,3393
860,3226
870,3338
880,3514
890,3369
900,3294
910,3444
920,3336
930,3479
940,3487
950,3418
960,3254
970,3426
980,3455
990,3331
1000,3632
1010,3317
1020,3418
1030,3545
1040,3319
1050,3594
1060,3523
1070,3455
1080,3510
1090,3423
1100,3672
1110,3399
1120,3469
1130,3533
1140,3376
1150,3506
1160,3554
1170,3436
1180,3660
1190,3617
1200,3602
1210,3655
1220,3625
1230,3646
1240,3494
1250,3595
1260,3472
1270,3522
1280,3318
1290,3520
1300,3699
1310,3622
1320,3824
1330,3793
1340,3731
1350,3686
1360,3674
1370,3686
1380,3752
1390,3707
1400,3969
1410,3664
1420,3633
1430,3822
1440,3701
1450,3735
1460,3582
1470,3749
1480,3561
1490,3574
1500,3711
1510,3785
1520,3819
1530,3775
1540,3710
1550,3811
1560,3998
1570,3649
1580,3605
1590,3656
1600,3894
1610,3959
1620,3584
1630,3920
1640,3915
1650,3740
1660,3884
1670,3165
1680,3452
1690,3466
1700,3454
1710,3447
1720,3492
1730,3531
1740,3449
1750,3623
1760,3399
1770,3884
1780,3916
1790,3856
1800,3917
1810,4064
1820,3499
1830,3437
1840,3568
1850,3385
1860,3519
1870,3419
1880,3484
1890,3490
1900,3505
1910,3556
1920,3467
1930,3581
1940,3540
1950,3551
1960,3452
1970,3448
1980,3664
1990,3458
2000,3457
2010,3452
2020,3521
2030,3450
2040,3561
