N;ExecutionTime(ms)
10;2
20;4
30;1
40;14
50;29
60;37
70;49
80;122
90;88
100;90
110;111
120;119
130;126
140;158
150;175
160;193
170;209
180;208
190;221
200;234
210;246
220;262
230;285
240;295
250;307
260;326
270;324
280;335
290;363
300;359
310;352
320;413
330;416
340;406
350;433
360;417
370;456
380;497
390;486
400;495
410;519
420;491
430;559
440;529
450;577
460;538
470;585
480;604
490;600
500;608
510;653
520;627
530;713
540;797
550;835
560;833
570;707
580;690
590;700
600;698
610;724
620;738
630;952
640;943
650;958
660;968
670;991
680;1001
690;998
700;1047
710;1051
720;1087
730;1063
740;1085
750;1091
760;1083
770;1106
780;1111
790;1157
800;1129
810;1159
820;1177
830;1207
840;1205
850;1262
860;1233
870;1264
880;1256
890;1296
900;1290
910;1394
920;1323
930;1528
940;1504
950;1539
960;1588
970;1460
980;1651
990;1602
1000;1598
1010;1627
1020;1674
1030;1656
1040;1635
1050;1722
1060;1666
1070;1746
1080;1820
1090;1762
1100;1909
1110;2051
1120;1858
1130;1966
1140;2083
1150;2006
1160;2033
1170;2087
1180;2150
1190;2136
1200;2218
1210;2222
1220;2370
1230;2317
1240;2339
1250;2373
1260;2411
1270;2517
1280;2516
1290;2558
1300;2598
1310;2598
1320;2661
1330;2713
1340;2727
1350;2816
1360;2803
1370;2852
1380;2906
1390;3158
1400;3302
1410;3102
1420;3123
1430;3211
1440;3196
1450;3156
1460;3206
1470;3243
1480;3321
1490;3350
1500;3823
1510;3427
1520;3458
1530;3452
1540;3561
1550;3908
1560;3893
1570;3819
1580;3723
1590;4010
1600;3900
1610;3950
1620;3874
1630;3943
1640;4050
1650;3985
1660;4089
1670;4044
1680;4083
1690;4326
1700;4322
1710;4313
1720;4399
1730;4338
1740;4318
1750;4357
1760;4474
1770;5021
1780;4481
1790;4576
1800;4580
1810;4727
1820;4591
1830;4729
1840;4689
1850;4832
1860;4764
1870;4964
1880;4852
1890;4984
1900;5043
1910;5040
1920;5238
1930;5202
1940;5280
1950;5363
1960;5288
1970;5437
1980;5512
1990;5733
2000;5471
2010;5636
2020;5804
2030;5886
2040;5982
2050;5919
2060;5839
2070;5951
2080;6034
2090;6117
2100;6130
2110;6177
2120;6283
2130;6321
2140;6352
2150;6453
2160;6417
2170;6539
2180;6475
2190;6597
2200;6674
2210;6713
2220;6830
2230;6880
2240;7101
2250;6890
2260;7051
2270;7038
2280;7178
2290;7718
2300;7256
2310;7324
2320;7397
2330;7518
2340;7490
2350;7555
2360;7716
2370;7749
2380;7898
2390;7876
2400;7962
2410;8321
2420;8428
2430;8190
2440;8201
2450;8385
2460;8353
2470;8394
2480;8364
2490;8569
2500;8632
2510;8582
2520;8738
2530;8743
2540;8833
2550;8969
2560;8898
2570;9084
2580;9472
2590;9390
2600;9373
2610;9327
2620;9453
2630;9614
2640;9672
2650;9706
2660;9700
2670;9700
2680;9786
2690;9829
2700;9938
2710;9947
2720;10133
2730;13784
2740;13761
2750;12085
2760;12405
2770;10917
2780;11624
2790;13500
2800;13723
2810;14150
2820;14330
2830;12740
2840;12715
2850;12147
2860;11472
2870;11300
2880;11238
2890;11353
2900;11602
2910;11756
2920;11629
2930;11599
2940;11751
2950;11930
2960;12306
2970;12112
2980;12106
2990;12159
3000;12211
3010;12811
3020;12303
3030;12476
3040;12534
3050;12752
3060;12686
3070;12726
3080;12913
3090;12938
3100;13100
3110;13034
3120;13172
3130;13219
3140;13440
3150;13863
3160;13420
3170;13392
3180;13623
3190;13781
3200;14282
3210;13847
3220;13972
3230;14063
3240;14224
3250;14175
3260;14357
3270;14553
3280;15062
3290;14504
3300;14587
3310;14772
3320;14886
3330;14908
3340;14914
3350;15137
3360;15158
3370;15127
3380;15284
3390;15375
3400;16013
3410;15614
3420;15647
3430;15685
3440;15897
3450;15830
3460;16030
3470;16132
3480;16244
3490;16319
3500;16398
3510;16517
3520;16665
3530;16849
3540;16905
3550;16865
3560;16877
3570;17139
3580;17155
3590;17297
3600;17254
3610;18195
3620;17606
3630;17876
3640;18145
3650;17735
3660;17896
3670;17843
3680;18025
3690;18138
3700;18188
3710;18483
3720;18345
3730;18445
3740;19129
3750;18858
3760;18797
3770;18958
3780;19009
3790;19050
3800;19150
3810;19517
3820;19290
3830;19623
3840;19964
3850;19694
3860;21734
3870;22433
3880;20037
3890;20069
3900;20319
3910;20329
3920;20678
3930;20784
3940;20622
3950;20723
3960;20837
3970;20947
3980;21235
3990;21217
4000;21321
4010;22101
4020;21635
4030;21460
4040;21757
4050;21869
4060;21926
4070;22086
4080;22213
4090;22301
4100;22871
4110;22510
4120;22704
